date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date
12/29,2330,美商高盛,1480,2228,211,2017,8.62,1,buy,2025-12-29
12/29,2330,香港上海匯豐,8960,10,610,-600,2.57,1,sell,2025-12-29
12/29,2330,群益金鼎,9100,1753,182,1571,6.72,2,buy,2025-12-29
12/29,2330,摩根大通,8440,862,1347,-485,2.07,2,sell,2025-12-29
12/29,2330,元大證券,9800,1516,271,1245,5.32,3,buy,2025-12-29
12/29,2330,永豐金-匯立,0039004100380031,1,391,-390,1.67,3,sell,2025-12-29
12/29,2330,花旗環球,1590,1073,198,875,3.74,4,buy,2025-12-29
12/29,2330,國泰-敦南,8888,66,417,-351,1.5,4,sell,2025-12-29
12/29,2330,富邦證券,9600,1111,415,696,2.98,5,buy,2025-12-29
12/29,2330,群益金鼎-新竹,9186,4,313,-309,1.32,5,sell,2025-12-29
12/29,2330,國泰證券,8880,715,27,688,2.94,6,buy,2025-12-29
12/29,2330,凱基-雙和,0039003200300043,2,233,-231,0.99,6,sell,2025-12-29
12/29,2330,大和國泰,8890,657,0,657,2.81,7,buy,2025-12-29
12/29,2330,陽信-石牌,8711,3,148,-145,0.62,7,sell,2025-12-29
12/29,2330,凱基,9200,674,26,648,2.77,8,buy,2025-12-29
12/29,2330,永豐金-信義,0039004100390052,11,147,-136,0.58,8,sell,2025-12-29
12/29,2330,永豐金證券,0039004100300030,720,174,546,2.33,9,buy,2025-12-29
12/29,2330,群益金鼎-中山,0039003100380048,20,153,-133,0.57,9,sell,2025-12-29
12/29,2330,統一,5850,837,296,541,2.31,10,buy,2025-12-29
12/29,2330,第一金-彰化,5386,3,129,-126,0.54,10,sell,2025-12-29
12/29,2330,兆豐證券,7000,512,9,503,2.15,11,buy,2025-12-29
12/29,2330,新光,8560,60,177,-117,0.5,11,sell,2025-12-29
12/29,2330,美林,1440,768,296,472,2.02,12,buy,2025-12-29
12/29,2330,中國信託,6160,45,155,-110,0.47,12,sell,2025-12-29
12/29,2330,凱基-台北,9268,1042,625,417,1.78,13,buy,2025-12-29
12/29,2330,國泰-台中,8882,16,125,-109,0.47,13,sell,2025-12-29
12/29,2330,國票-敦北法人,0037003700390063,383,18,365,1.56,14,buy,2025-12-29
12/29,2330,國票證券,7790,64,169,-105,0.45,14,sell,2025-12-29
12/29,2330,宏遠證券,1260,363,44,319,1.36,15,buy,2025-12-29
