date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
2/04,2330,富邦證券,9600,2249,572,1677,5.83,1,buy
2/04,2330,元大證券,9800,2225,8572,-6347,22.05,1,sell
2/04,2330,兆豐證券,7000,1094,20,1074,3.73,2,buy
2/04,2330,凱基,9200,374,1582,-1208,4.2,2,sell
2/04,2330,中國信託,6160,636,34,602,2.09,3,buy
2/04,2330,台新證券,8150,78,1143,-1065,3.7,3,sell
2/04,2330,統一,5850,694,113,581,2.02,4,buy
2/04,2330,台灣摩根士丹利,1470,1067,1809,-742,2.58,4,sell
2/04,2330,美商高盛,1480,1576,1032,544,1.89,5,buy
2/04,2330,新加坡商瑞銀,1650,1482,2210,-728,2.53,5,sell
2/04,2330,美林,1440,1381,996,385,1.34,6,buy
2/04,2330,花旗環球,1590,770,1247,-477,1.66,6,sell
2/04,2330,宏遠證券,1260,272,13,259,0.9,7,buy
2/04,2330,摩根大通,8440,1901,2151,-250,0.87,7,sell
2/04,2330,香港上海匯豐,8960,453,218,235,0.82,8,buy
2/04,2330,凱基-台北,9268,828,1046,-218,0.76,8,sell
2/04,2330,永豐金證券,0039004100300030,322,99,223,0.77,9,buy
2/04,2330,港商麥格理,1360,1067,1199,-132,0.46,9,sell
2/04,2330,臺銀,1040,236,22,214,0.74,10,buy
2/04,2330,元大-新生,0039003800310058,4,40,-36,0.13,10,sell
2/04,2330,永豐金-豐原,0039004100390051,164,1,163,0.57,11,buy
2/04,2330,富邦-南屯,9666,7,32,-25,0.09,11,sell
2/04,2330,永豐金-匯立,0039004100380031,235,80,155,0.54,12,buy
2/04,2330,康和,8450,7,30,-23,0.08,12,sell
2/04,2330,元大-台北,0039003800300068,346,202,144,0.5,13,buy
2/04,2330,元大-忠孝鼎富,0039003800320046,1,14,-13,0.05,13,sell
2/04,2330,國泰證券,8880,140,4,136,0.47,14,buy
2/04,2330,永豐金-敦南,0039004100380046,20,31,-11,0.04,14,sell
2/04,2330,國泰-敦南,8888,243,125,118,0.41,15,buy
2/04,2330,富邦-和美,0039003600310050,2,11,-9,0.03,15,sell
2/04,2317,新加坡商瑞銀,1650,5446,1783,3663,13.23,1,buy
2/04,2317,國泰證券,8880,29,1376,-1347,4.87,1,sell
2/04,2317,港商麥格理,1360,1252,69,1183,4.27,2,buy
2/04,2317,港商野村,1560,403,1414,-1011,3.65,2,sell
2/04,2317,美商高盛,1480,2215,1306,909,3.28,3,buy
2/04,2317,美林,1440,864,1709,-845,3.05,3,sell
2/04,2317,台灣摩根士丹利,1470,1949,1052,897,3.24,4,buy
2/04,2317,大和國泰,8890,0,581,-581,2.1,4,sell
2/04,2317,凱基,9200,708,54,654,2.36,5,buy
2/04,2317,台新證券,8150,319,786,-467,1.69,5,sell
2/04,2317,花旗環球,1590,747,322,425,1.54,6,buy
2/04,2317,元大證券,9800,1380,1836,-456,1.65,6,sell
2/04,2317,第一金-嘉義,003500330038004d,192,8,184,0.66,7,buy
2/04,2317,富邦證券,9600,110,537,-427,1.54,7,sell
2/04,2317,法銀巴黎,8900,168,9,159,0.57,8,buy
2/04,2317,中國信託,6160,202,559,-357,1.29,8,sell
2/04,2317,元大-台南,9896,107,10,97,0.35,9,buy
2/04,2317,摩根大通,8440,773,1120,-347,1.25,9,sell
2/04,2317,元大-沙鹿,0039003800300064,110,18,92,0.33,10,buy
2/04,2317,第一金,5380,6,266,-260,0.94,10,sell
2/04,2317,元大-敦化,9833,83,5,78,0.28,11,buy
2/04,2317,凱基-台北,9268,483,633,-150,0.54,11,sell
2/04,2317,元富-新店,0039004200320032,69,7,62,0.22,12,buy
2/04,2317,元大-南京,9862,16,160,-144,0.52,12,sell
2/04,2317,凱基-松山,9217,83,22,61,0.22,13,buy
2/04,2317,國泰-敦南,8888,265,404,-139,0.5,13,sell
2/04,2317,凱基-東港,9212,63,5,58,0.21,14,buy
2/04,2317,永豐金-敦南,0039004100380046,10,125,-115,0.42,14,sell
2/04,2317,華南永昌-忠孝,9325,64,6,58,0.21,15,buy
2/04,2317,統一-南京,0035003800350055,4,120,-116,0.42,15,sell
2/04,2454,港商麥格理,1360,866,27,839,7.12,1,buy
2/04,2454,凱基,9200,141,1651,-1510,12.82,1,sell
2/04,2454,美商高盛,1480,984,654,330,2.8,2,buy
2/04,2454,花旗環球,1590,438,1078,-640,5.43,2,sell
2/04,2454,國泰證券,8880,229,8,221,1.88,3,buy
2/04,2454,港商野村,1560,152,464,-312,2.65,3,sell
2/04,2454,新加坡商瑞銀,1650,1319,1141,178,1.51,4,buy
2/04,2454,美林,1440,203,426,-223,1.89,4,sell
2/04,2454,國票-敦北法人,0037003700390063,184,26,158,1.34,5,buy
2/04,2454,台新證券,8150,82,243,-161,1.37,5,sell
2/04,2454,宏遠證券,1260,136,1,135,1.15,6,buy
2/04,2454,富邦-公益,0039003600310046,6,139,-133,1.13,6,sell
2/04,2454,中國信託,6160,115,17,98,0.83,7,buy
2/04,2454,凱基-台北,9268,553,667,-114,0.97,7,sell
2/04,2454,兆豐證券,7000,142,44,98,0.83,8,buy
2/04,2454,富邦-嘉義,9692,107,194,-87,0.74,8,sell
2/04,2454,大和國泰,8890,105,22,83,0.7,9,buy
2/04,2454,統一,5850,60,111,-51,0.43,9,sell
2/04,2454,永豐金-內湖,0039004100390067,74,2,72,0.61,10,buy
2/04,2454,凱基-信義,9216,0,50,-50,0.42,10,sell
2/04,2454,華南永昌,9300,98,33,65,0.55,11,buy
2/04,2454,台灣摩根士丹利,1470,295,326,-31,0.26,11,sell
2/04,2454,富邦-桃園,9665,58,5,53,0.45,12,buy
2/04,2454,富邦-和美,0039003600310050,0,26,-26,0.22,12,sell
2/04,2454,元大-和平,9863,47,0,47,0.4,13,buy
2/04,2454,元大-信義,003900380039006d,0,25,-25,0.21,13,sell
2/04,2454,富邦證券,9600,244,199,45,0.38,14,buy
2/04,2454,元大-頭份,0039003800330055,0,19,-19,0.16,14,sell
2/04,2454,永豐金-匯立,0039004100380031,88,45,43,0.37,15,buy
2/04,2454,兆豐-新竹,0037003000300056,14,32,-18,0.15,15,sell
2/04,2308,新加坡商瑞銀,1650,893,147,746,10.18,1,buy
2/04,2308,凱基,9200,86,738,-652,8.9,1,sell
2/04,2308,港商麥格理,1360,358,13,345,4.71,2,buy
2/04,2308,台新證券,8150,11,582,-571,7.79,2,sell
2/04,2308,永豐金-豐原,0039004100390051,235,3,232,3.17,3,buy
2/04,2308,凱基-台北,9268,329,603,-274,3.74,3,sell
2/04,2308,摩根大通,8440,851,623,228,3.11,4,buy
2/04,2308,台灣摩根士丹利,1470,240,431,-191,2.61,4,sell
2/04,2308,美商高盛,1480,725,554,171,2.33,5,buy
2/04,2308,國泰證券,8880,26,194,-168,2.29,5,sell
2/04,2308,康和,8450,128,2,126,1.72,6,buy
2/04,2308,中國信託,6160,36,179,-143,1.95,6,sell
2/04,2308,美林,1440,465,345,120,1.64,7,buy
2/04,2308,凱基-文心,9297,0,94,-94,1.28,7,sell
2/04,2308,群益金鼎,9100,103,7,96,1.31,8,buy
2/04,2308,第一金,5380,1,80,-79,1.08,8,sell
2/04,2308,國票-敦北法人,0037003700390063,61,1,60,0.82,9,buy
2/04,2308,永豐金證券,0039004100300030,68,134,-66,0.9,9,sell
2/04,2308,花旗環球,1590,95,38,57,0.78,10,buy
2/04,2308,玉山證券,8840,8,58,-50,0.68,10,sell
2/04,2308,永豐金-匯立,0039004100380031,67,12,55,0.75,11,buy
2/04,2308,元大證券,9800,323,367,-44,0.6,11,sell
2/04,2308,玉山-高雄,8843,53,3,50,0.68,12,buy
2/04,2308,元大-和平,9863,1,35,-34,0.46,12,sell
2/04,2308,港商野村,1560,45,0,45,0.61,13,buy
2/04,2308,富邦證券,9600,266,297,-31,0.42,13,sell
2/04,2308,法銀巴黎,8900,33,3,30,0.41,14,buy
2/04,2308,國泰-台南,8884,3,33,-30,0.41,14,sell
2/04,2308,華南永昌-高雄,9303,26,1,25,0.34,15,buy
2/04,2308,兆豐-板橋,0037003000300042,0,22,-22,0.3,15,sell
2/04,2382,新加坡商瑞銀,1650,1814,240,1574,16.09,1,buy
2/04,2382,摩根大通,8440,698,2032,-1334,13.64,1,sell
2/04,2382,港商麥格理,1360,545,105,440,4.5,2,buy
2/04,2382,統一,5850,1,513,-512,5.23,2,sell
2/04,2382,兆豐證券,7000,480,97,383,3.91,3,buy
2/04,2382,凱基,9200,116,550,-434,4.44,3,sell
2/04,2382,台灣摩根士丹利,1470,662,399,263,2.69,4,buy
2/04,2382,宏遠證券,1260,5,411,-406,4.15,4,sell
2/04,2382,凱基-台北,9268,584,358,226,2.31,5,buy
2/04,2382,台新證券,8150,16,230,-214,2.19,5,sell
2/04,2382,花旗環球,1590,248,23,225,2.3,6,buy
2/04,2382,美商高盛,1480,735,920,-185,1.89,6,sell
2/04,2382,中國信託,6160,195,23,172,1.76,7,buy
2/04,2382,美林,1440,62,192,-130,1.33,7,sell
2/04,2382,臺銀,1040,91,4,87,0.89,8,buy
2/04,2382,永豐金證券,0039004100300030,23,145,-122,1.25,8,sell
2/04,2382,國泰證券,8880,128,51,77,0.79,9,buy
2/04,2382,富邦-南京,0039003600310043,2,119,-117,1.2,9,sell
2/04,2382,中國信託-忠孝,6162,63,2,61,0.62,10,buy
2/04,2382,亞東-台南,2185,50,133,-83,0.85,10,sell
2/04,2382,元大-和平,9863,51,2,49,0.5,11,buy
2/04,2382,港商野村,1560,11,88,-77,0.79,11,sell
2/04,2382,元大證券,9800,306,258,48,0.49,12,buy
2/04,2382,國泰-高雄,8881,6,74,-68,0.7,12,sell
2/04,2382,第一金-台南,5384,42,3,39,0.4,13,buy
2/04,2382,群益金鼎-台中,9184,32,82,-50,0.51,13,sell
2/04,2382,華南永昌-中正,9359,42,4,38,0.39,14,buy
2/04,2382,中國信託-文心,6164,18,53,-35,0.36,14,sell
2/04,2382,富邦-台北,9623,65,30,35,0.36,15,buy
2/04,2382,富邦-基隆,9614,2,29,-27,0.28,15,sell
2/04,2891,元大證券,9800,4444,951,3493,14.48,1,buy
2/04,2891,美商高盛,1480,2559,4670,-2111,8.75,1,sell
2/04,2891,摩根大通,8440,2383,953,1430,5.93,2,buy
2/04,2891,群益金鼎,9100,46,2003,-1957,8.11,2,sell
2/04,2891,台灣摩根士丹利,1470,2860,1468,1392,5.77,3,buy
2/04,2891,美林,1440,1255,2949,-1694,7.02,3,sell
2/04,2891,玉山證券,8840,603,5,598,2.48,4,buy
2/04,2891,新加坡商瑞銀,1650,1025,2207,-1182,4.9,4,sell
2/04,2891,花旗環球,1590,679,94,585,2.42,5,buy
2/04,2891,台新證券,8150,114,1168,-1054,4.37,5,sell
2/04,2891,凱基-台北,9268,1476,913,563,2.33,6,buy
2/04,2891,富邦證券,9600,145,944,-799,3.31,6,sell
2/04,2891,永豐金-匯立,0039004100380031,439,0,439,1.82,7,buy
2/04,2891,元富-總公司營業部,0039004200320030,14,397,-383,1.59,7,sell
2/04,2891,凱基,9200,609,217,392,1.62,8,buy
2/04,2891,中國信託-文心,6164,4,311,-307,1.27,8,sell
2/04,2891,永豐金-新竹,0039004100390037,700,402,298,1.24,9,buy
2/04,2891,永豐金證券,0039004100300030,54,324,-270,1.12,9,sell
2/04,2891,華南永昌,9300,270,4,266,1.1,10,buy
2/04,2891,元大-龍潭,9858,1,196,-195,0.81,10,sell
2/04,2891,臺銀,1040,203,3,200,0.83,11,buy
2/04,2891,永豐金-中正,0039004100390055,7,170,-163,0.68,11,sell
2/04,2891,香港上海匯豐,8960,296,110,186,0.77,12,buy
2/04,2891,台新-屏東,0038003100350048,0,150,-150,0.62,12,sell
