代號,名稱,市場,漲幅%,5日籌碼,外資5日,投信5日,投信連買,5日集中%,預估量比
00400A,主動國泰動能高息,TW,0.0,81058.048,28452.321,0.0,0,0.0,0.0
00401A,主動摩根台灣鑫收,TW,0.0,-12051.304,3075.0,0.0,0,0.0,0.0
00402A,主動安聯美國科技,TW,0.0,16358.706,3439.1,0.0,0,0.0,0.0
00403A,主動統一升級50,TW,0.0,664411.879,146714.021,0.0,0,0.0,0.0
00404A,主動聯博動能50,TW,0.0,11107.714,1324.0,0.0,0,0.0,0.0
00405A,主動富邦台灣龍耀,TW,0.0,79042.815,6166.599,0.0,0,0.0,0.0
00406A,主動中信台灣收益,TW,0.0,-18986.424,-1461.8000000000002,0.0,0,0.0,0.0
00407A,主動凱基台灣,TW,0.0,193682.959,59951.659999999996,0.0,0,0.0,0.0
00408A,主動第一金優股息,TW,0.0,7572.302,-7.0,0.0,0,0.0,0.0
00410A,主動永豐科技趨勢,TW,0.0,15024.117,1510.0,0.0,0,0.0,0.0
0050,元大台灣50,TW,2.01,97613.152,44293.221000000005,-5035.0,0,26.3,1.0
0051,元大中型100,TW,1.65,1.7040000000000006,4.444999999999999,0.0,0,0.0,0.0
0052,富邦科技,TW,2.21,40312.444,5983.197,-1405.0,0,43.9,0.92
0053,元大電子,TW,2.4,113.8,-2.7260000000000004,0.0,0,0.0,0.0
0055,元大MSCI金融,TW,-0.14,-58.114,-224.487,0.0,0,-4.9,0.76
0056,元大高股息,TW,1.34,92010.93,35242.361,1070.0,0,54.0,1.21
0057,富邦摩台,TW,1.92,9.184000000000001,1.944,0.0,0,0.0,0.0
0061,元大寶滬深,TW,0.68,752.1759999999999,462.0,0.0,0,52.1,0.36
006203,元大MSCI台灣,TW,0.0,14.151000000000002,0.006,0.0,0,0.0,0.0
006204,永豐臺灣加權,TW,0.0,9.561,5.0,0.0,0,0.0,0.0
006205,富邦上証,TW,0.0,1625.18,63.0,125.0,0,0.0,0.0
006206,元大上證50,TW,0.0,104.41499999999999,-6.0,0.0,0,0.0,0.0
006207,復華滬深,TW,0.0,65.66600000000001,17.0,0.0,0,0.0,0.0
006208,富邦台50,TW,0.0,-129.65100000000007,227.98300000000003,15.0,0,0.0,0.0
